User Agent,Ads Requested
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15",133391
"Spotify/8.7.28 iOS/15.4.1 (iPhone11,8)",132216
Heart/1646916372 CFNetwork/1331.0.7 Darwin/21.4.0,130692
"SoundCloud/5.169.2 build 1233970; iPhone13,2/iOS/15.4.1",130515
"SoundCloud/5.169.2 build 1233970; iPhone11,8/iOS/15.4.1",128410
radio/1.0.7 CFNetwork/1331.0.7 Darwin/21.4.0,128157
Simple%20Radio/1758 CFNetwork/1331.0.7 Darwin/21.4.0,123897
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36 Edg/100.0.1185.50",123790
Nullsoft Winamp3 version 3.0 (compatible),122413
Linux UPnP/1.0 Sonos/68.2-28040 (ZPS22) Nullsoft Winamp3 version 3.0 (compatible),120228
AppleCoreMedia/1.0.0.19L452 (Apple TV; U; CPU OS 15_4_1 like Mac OS X; en_gb),118286
Linux UPnP/1.0 Sonos/57.11-28060 (ZPS5) Nullsoft Winamp3 version 3.0 (compatible),116520
Linux UPnP/1.0 Sonos/57.11-28060 (ZPS1) Nullsoft Winamp3 version 3.0 (compatible),115052
Linux UPnP/1.0 Sonos/57.11-28060 (ZP120) Nullsoft Winamp3 version 3.0 (compatible),114210
Linux UPnP/1.0 Sonos/68.2-28040 (ZPS1),113712
AppleCoreMedia/1.0.0. (AAS-; U; Windows NT 10.0),109943
Dalvik/2.1.0 (Linux; U; Android 12; SM-G973F Build/SP1A.210812.016),105404
AmazonMusic,104511
"Spotify/8.7.28 iOS/15.4.1 (iPhone14,5)",102029
AppleCoreMedia/1.0.0.19E258 (iPod touch; U; CPU OS 15_4_1 like Mac OS X; en_gb),100456
Linux UPnP/1.0 Sonos/68.2-28040 (ZPS6) Nullsoft Winamp3 version 3.0 (compatible),99963
myTuner,99950
Classic FM/92 (iPad; CPU OS 15_4_1 like Mac OS X),99854
Dalvik/2.1.0 (Linux; U; Android 10; SM-G960F Build/QP1A.190711.020),98621
"Mozilla/5.0 (Linux; Android 5.1.1; AFTT Build/LVY48F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/98.0.4758.101 Mobile Safari/537.36 cordova-amazon-fireos/3.4.0 AmazonWebAppPlatform/3.4.0;2.0",96291
AppleCoreMedia/1.0.0.18G82 (iPhone; U; CPU OS 14_7_1 like Mac OS X; en_gb),94477
Lavf/57.83.100,94218
Linux UPnP/1.0 Sonos/68.2-28040 (ZPS14) Nullsoft Winamp3 version 3.0 (compatible),92297
Lavf/58.45.100,91935
MPlayer 1.1,91376
Overcast/3.0 (+http://overcast.fm/; iOS podcast app),90060
"SoundCloud/5.169.2 build 1233970; iPhone14,5/iOS/15.4.1",88365
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15",87747
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36",87296
AppleCoreMedia/1.0.0.19D52 (iPad; U; CPU OS 15_3_1 like Mac OS X; en_gb),87227
Dalvik/2.1.0 (Linux; U; Android 9; SM-G950F Build/PPR1.180610.011),83178
LBC/92 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X),83092
Dalvik/2.1.0 (Linux; U; Android 11; SM-A125F Build/RP1A.200720.012),82884
"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36",82118
"SoundCloud/5.170.0 build 1234144; iPhone13,4/iOS/15.4.1",81387
"Spotify/8.7.28 iOS/15.4.1 (iPhone12,8)",80668
atc/1.0,80472
"SoundCloud/5.170.0 build 1234144; iPhone14,3/iOS/15.4.1",80159
